latitude,longitude,hhid,wilcah,geometry,count_electric_power_plant_within_1km,count_refinery_within_1km,count_port_within_1km,count_oil_n_gas_within_1km,count_other_within_1km,count_mine_within_1km,count_mineral_processing_plant_within_1km,count_smelting_plant_within_1km,count_electric_power_plant_within_3km,count_refinery_within_3km,count_port_within_3km,count_oil_n_gas_within_3km,count_other_within_3km,count_mine_within_3km,count_mineral_processing_plant_within_3km,count_smelting_plant_within_3km,count_electric_power_plant_within_5km,count_refinery_within_5km,count_port_within_5km,count_oil_n_gas_within_5km,count_other_within_5km,count_mine_within_5km,count_mineral_processing_plant_within_5km,count_smelting_plant_within_5km,count_electric_power_plant_within_10km,count_refinery_within_10km,count_port_within_10km,count_oil_n_gas_within_10km,count_other_within_10km,count_mine_within_10km,count_mineral_processing_plant_within_10km,count_smelting_plant_within_10km,distance_to_closest_electric_power_plant_km,distance_to_closest_refinery_km,distance_to_closest_port_km,distance_to_closest_oil_n_gas_km,distance_to_closest_other_km,distance_to_closest_mine_km,distance_to_closest_mineral_processing_plant_km,distance_to_closest_smelting_plant_km
-1.8696881,106.1247795,9201,92,POINT (106.12477949999999 -1.8696880999999996),0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,331.9308506655308,399.0276623300408,25.32167389126106,25.32167389126106,20.09016188523142,26.821129579036693,0.5821807749254835,461.21098742401574
-1.8697632,106.1250575,9203,92,POINT (106.12505749999998 -1.8697631999999997),0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,331.949775450228,399.020890826388,25.312833607986054,25.312833607986054,20.10553515929248,26.81084395898613,0.5508283711370089,461.20341601621203
0.9051078,104.454145,6709,67,POINT (104.45414499999998 0.9051078000000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,445.12151264224246,726.5581643231063,3.461580379264636,17.910255652350294,7.536996356832468,17.357012467833044,22.017618419553514,619.9534129618834
-7.0165172,113.7635234,27307,273,POINT (113.76352339999998 -7.0165172),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.83343642755086,671.8752234979565,78.5113684513797,96.4925708918842,47.92472827823929,374.8349894616022,115.9117800901615,126.36477602439439
0.5652083,97.8085983,2510,25,POINT (97.8085983 0.5652083),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.19643179992892,525.5628997203193,169.09897368019406,371.8840666527262,175.2870299359244,175.4798770702186,340.7897311409858,360.53196370228113
0.5650083,97.808045,2503,25,POINT (97.80804500000002 0.5650083),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.2596760375188,525.5754399150356,169.15565586982464,371.92199536636156,175.3495850680216,175.54245905293448,340.8322841125129,360.5824205582019
-1.8697447,106.1252432,9202,92,POINT (106.1252432 -1.8697446999999998),0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,331.96719871410113,399.0240067983858,25.314596485531492,25.314596485531492,20.121339924225865,26.81162600560623,0.5302874717770659,461.206004991272
-4.0529467,105.7612133,10501,105,POINT (105.7612133 -4.0529467),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.249760969744,156.422880808811,138.71331310743457,151.6232006739338,135.51737357977527,158.6776252341574,147.59683205829495,219.56673809982422
-4.0506483,105.760905,10510,105,POINT (105.76090499999998 -4.050648299999998),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.41304330741576,156.6816621410845,138.51814830308024,151.87494139286036,135.69621141275226,158.44939956620442,147.41819178961464,219.82552128764684
-4.054865,105.7608667,10508,105,POINT (105.76086669999998 -4.0548649999999995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.0675098972329,156.21554239682973,138.91331536341247,151.43726846198362,135.32622151879428,158.89167658732532,147.78808814087336,219.35955069469608
